,School_code,School_name,latest_year_enrolment_FTE,Level_of_schooling,AECG_region,ASGS_remoteness,Latitude,Longitude,Ratio,teacher_demand
1872,8170,Narrabri High School,503.6,Secondary School,North Western 1,Outer Regional Australia,-30.335548,149.78267,12.450000000000001,41.0
1873,8171,Kiama High School,1022.0,Secondary School,Upper South Coast,Inner Regional Australia,-34.68066,150.847197,12.450000000000001,82.0
1874,8173,Wauchope High School,504.0,Secondary School,Lower North Coast,Inner Regional Australia,-31.450894,152.731158,12.450000000000001,41.0
1875,8174,Quirindi High School,385.9,Secondary School,North Western 2,Outer Regional Australia,-31.501631,150.680087,12.450000000000001,31.0
1876,8176,Liverpool Girls High School,785.2,Secondary School,Metropolitan South West,Major Cities of Australia,-33.917986,150.931475,12.450000000000001,63.0
1877,8177,Kurri Kurri High School,821.8,Secondary School,Hunter,Major Cities of Australia,-32.810142,151.486294,12.450000000000001,66.0
1878,8178,Richmond High School,617.1999999999999,Secondary School,Metropolitan West,Major Cities of Australia,-33.600535,150.746715,12.450000000000001,50.0
1879,8179,Junee High School,236.0,Secondary School,Riverina 1,Inner Regional Australia,-34.869115,147.592765,12.450000000000001,19.0
1880,8180,Campbelltown Performing Arts High School,1098.6,Secondary School,Dharawal,Major Cities of Australia,-34.060108,150.822959,12.450000000000001,89.0
1881,8184,Punchbowl Boys High School,479.0,Secondary School,Metropolitan South West,Major Cities of Australia,-33.924027,151.052954,12.450000000000001,39.0
1882,8186,Liverpool Boys High School,518.8,Secondary School,Metropolitan South West,Major Cities of Australia,-33.917157,150.93154,12.450000000000001,42.0
1883,8187,East Hills Girls Technology High School,961.4,Secondary School,Metropolitan South West,Major Cities of Australia,-33.956866,150.992016,12.450000000000001,78.0
1884,8188,Gunnedah High School,431.8,Secondary School,North Western 1,Outer Regional Australia,-30.982637,150.248768,12.450000000000001,35.0
1885,8189,Kyogle High School,293.0,Secondary School,Upper North Coast,Inner Regional Australia,-28.625772,153.001529,12.450000000000001,24.0
1886,8190,Cootamundra High School,297.6,Secondary School,Riverina 1,Inner Regional Australia,-34.635419,148.017191,12.450000000000001,24.0
